,id,text,Party_Obligate,Party_Beneficiary,Action_Verbs,Action_Clause,Condition,Condition_Verb,has_condition
0,cl37rby5eofjb07ckdjtk8682,"if at any time any change in gaap would affect the computation of any financial ratio, covenant or requirement set forth in any loan document, and either the u.s. borrower or the required lenders shall so request, the administrative agent, the lenders and the u.s. borrower shall negotiate in good faith to amend such ratio or requirement to preserve the original intent thereof in light of such change in gaap (subject to the approval of the required lenders); provided that, until so amended, (i) such ratio or requirement shall continue to be computed in accordance with gaap prior to such change therein and (ii) the u.s. borrower shall provide to the administrative agent and the lenders financial statements and other documents required under this agreement or as reasonably requested hereunder setting forth a reconciliation between calculations of such ratio, covenant or requirement made before and after giving effect to such change in gaap; provided further that such reconciliation shall be required to be provided only for the four fiscal quarters following such change or such longer period as may be reasonably requested by the administrative agent.",['the u.s. borrower'],"['the administrative agent, the lenders']","['negotiate', 'amend', 'preserve']","['the administrative agent, the lenders and the u.s. borrower shall negotiate in good faith to amend such ratio or requirement to preserve the original intent thereof in light of such change in gaap (subject to the approval of the required lenders)']","['if at any time any change in gaap would affect the computation of any financial ratio, covenant or requirement set forth in any loan document, and either the u.s. borrower or the required lenders shall so request', 'provided that, until so amended, (i)\xa0such ratio or requirement shall continue to be computed in accordance with gaap prior to such change therein and (ii)\xa0the u.s. borrower shall provide to the administrative agent and the lenders financial statements and other documents required under this agreement or as reasonably requested hereunder setting forth a reconciliation between calculations of such ratio, covenant or requirement made before and after giving effect to such change in gaap; provided further that such reconciliation shall be required to be provided only for the four fiscal quarters following such change or such longer period as may be reasonably requested by the administrative agent']",[],true
1,cl37rbyctpuga079o6dstfetx,"if the executive’s employment is terminated by reason of the executive’s death during the employment period, this agreement shall terminate without further obligations to the executive’s legal representatives under this agreement, other than payment or provision of (i) the accrued obligations, (ii) the other benefits, and (iii) subject to the delivery of an executed release from the executive’s legal representatives prior to the release deadline, the time-based award vesting benefits, the performance award vesting benefits, the post-employment health care benefits and the pro rata bonus.  the term “other benefits,” as utilized in this section 4(b)  shall include death benefits as in effect on the date of the executive’s death with respect to senior executives of the company. all payments and benefits enumerated in (i)-(iii) of this sub-section shall be paid at the same time and in the same form described in section 4(a) .",[],"['executive', 'executive']","['shall terminate', 'shall be paid', 'shall include']","['all payments and benefits enumerated in (i)-(iii) of this sub-section shall be paid at the same time and in the same form described in section 4(a)', 'this agreement shall terminate without further obligations to the executive’s legal representatives under this agreement, other than payment or provision of (i)\xa0the accrued obligations, (ii)\xa0the other benefits, and (iii) subject to the delivery of an executed release from the executive’s legal representatives prior to the release deadline, the time-based award vesting benefits, the performance award vesting benefits, the post-employment health care benefits and the pro rata bonus', 'the term “other benefits,” as utilized in this section\xa04(b) \xa0shall include death benefits as in effect on the date of the executive’s death with respect to senior executives of the company']",['if the executive’s employment is terminated by reason of the executive’s death during the employment period'],[],true
2,cl37rj2yeoflx088xgcjx7l4a,"notwithstanding the above provisions, if an event of default has occurred and is continuing, upon written notice by the administrative agent (which notice the administrative agent may give in its discretion and shall give at the direction of the required lenders), the principal amount of all loans outstanding and, to the extent permitted by applicable law, all overdue interest in respect of each loan and all fees or other amounts owed hereunder, shall thereafter bear interest (including post petition interest in any proceeding under the bankruptcy code or other applicable bankruptcy laws) payable on demand, at a rate per annum equal to the default rate. in addition, if any amount (other than amounts as to which the foregoing sentence is applicable) payable by the borrower under the loan documents is not paid when due, upon written notice by the administrative agent (which notice the administrative agent may give in its discretion and shall give at the direction of the required lenders), such amount shall bear interest, payable on demand, at a rate per annum equal to the default rate.",[],[],"['shall thereafter bear', 'shall bear']","['the principal amount of all loans outstanding and, to the extent permitted by applicable law, all overdue interest in respect of each loan and all fees or other amounts owed hereunder, shall thereafter bear interest (including post petition interest in any proceeding under the bankruptcy code or other applicable bankruptcy laws) payable on demand, at a rate per annum equal to the default rate', 'such amount shall bear interest, payable on demand, at a rate per annum equal to the default rate']","['notwithstanding the above provisions, if an event of default has occurred and is continuing, upon written notice by the administrative agent (which notice the administrative agent may give in its discretion and shall give at the direction of the required lenders)', 'in addition, if any amount (other than amounts as to which the foregoing sentence is applicable) payable by the borrower under the loan documents is not paid when due, upon written notice by the administrative agent (which notice the administrative agent may give in its discretion and shall give at the direction of the required lenders)']","['has occurred', 'is continuing', 'is not paid']",true
3,cl37rv708qbm107af1k2c7f21,"the agent will promptly notify the lenders of any termination or reduction of the letter of credit sublimit or the revolving commitment under this section  2.5 . upon any reduction of the revolving commitments, unless otherwise permitted under this section  2.5 , the revolving commitment of each revolving lender shall be reduced by such lender’s pro rata share of such reduction amount. all fees in respect of the revolving commitment accrued until the effective date of any termination of such revolving commitment shall be paid on the effective date of such termination. in connection with the termination or reduction of any portion of the revolving credit facility pursuant to this section  2.5 , borrower shall prepay the revolving loans and l/c advances of the revolving lenders whose revolving commitments have been so terminated or reduced to the extent necessary such that the revolving loans and l/c advances of each revolving lender shall not exceed its pro rata share of the revolving loans and l/c advances after giving effect to such termination or reduction.","['the agent', 'borrower']","['the lenders', 'the revolving lenders']","['notify', 'shall be reduced', 'shall be paid']","['the agent will promptly notify the lenders of any termination or reduction of the letter of credit sublimit or the revolving commitment', 'the revolving commitment of each revolving lender shall be reduced by such lender’s pro rata share of such reduction amount', 'all fees in respect of the revolving commitment accrued until the effective date of any termination of such revolving commitment shall be paid on the effective date of such termination', 'borrower shall prepay the revolving loans and l/c advances of the revolving lenders whose revolving commitments have been so terminated or reduced to the extent necessary such that the revolving loans and l/c advances of each revolving lender shall not exceed its pro rata share of the revolving loans and l/c advances after giving effect to such termination or reduction']","['under this section \xa02.5', 'upon any reduction of the revolving commitments, unless otherwise permitted under this section \xa02.5', 'in connection with the termination or reduction of any portion of the revolving credit facility pursuant to this section \xa02.5']",[],true
4,cl3atyjyu00y5079h7gtgdbwl,"by its acquisition of registrable securities, each holder agrees that, upon receipt of a notice from the company of the occurrence of any event of the kind described in section 3(d)(iii) through (vi), such holder will forthwith discontinue disposition of such registrable securities under a registration statement until it is advised in writing (the “ advice ”) by the company that the use of the applicable prospectus (as it may have been supplemented or amended) may be resumed.  the company will use its best efforts to ensure that the use of the prospectus may be resumed as promptly as is practicable.  the company agrees and acknowledges that any periods during which the holder is required to discontinue the disposition of the registrable securities hereunder shall be subject to the provisions of section 2(d).",[],[],['discontinue'],['such holder will forthwith discontinue disposition of such registrable securities under a registration statement until it is advised in writing (the “ advice ”) by the company that the use of the applicable prospectus (as it may have been supplemented or amended) may be resumed.'],"['by its acquisition of registrable securities, each holder agrees that, upon receipt of a notice from the company of the occurrence of any event of the kind described in section 3(d)(iii) through (vi),']",[],true
5,cl3atzdt4105h076i479h4lzp,"if executive’s employment with employer expires or is terminated (whether by employer or executive) for any reason during the term, employer shall pay or provide to executive (or to his/her authorized representative or estate): (i) any unpaid base annual salary earned through the date of such termination; (ii) any unpaid incentive compensation that is deemed earned and has become payable under the terms of any incentive compensation program in which executive was participating at the time of or had participated prior to such expiration or termination of employment; (iii) unpaid expense reimbursements; (iv) accrued but unused vacation, and (v) any vested benefits executive may have earned under any employee benefit plan of employer or parent prior to the expiration or termination of executive’s employment; provided, however, that notwithstanding the foregoing provisions of this section 7(a), if executive’s employment is terminated for cause pursuant to section 6(a) above or pursuant to section 6(f), due to certain regulatory actions, then, unless otherwise required by applicable law, executive shall not be entitled to receive any unpaid incentive compensation that might otherwise have been due to executive.",['employer'],['executive'],"['pay', 'provide']","['employer shall pay or provide to executive (or to his/her authorized representative or estate): (i)\xa0any unpaid base annual salary earned through the date of such termination; (ii)\xa0any unpaid incentive compensation that is deemed earned and has become payable under the terms of any incentive compensation program in which executive was participating at the time of or had participated prior to such expiration or termination of employment; (iii)\xa0unpaid expense reimbursements; (iv) accrued but unused vacation, and (v) any vested benefits executive may have earned under any employee benefit plan of employer or parent prior to the expiration or termination of executive’s employment; provided, however, that notwithstanding the foregoing provisions of this section 7(a), if executive’s employment is terminated for cause pursuant to section 6(a) above or pursuant to section 6(f), due to certain regulatory actions, then, unless otherwise required by applicable law, executive shall not be entitled to receive any unpaid incentive compensation that might otherwise have been due to executive.']","['if executive’s employment with employer expires or is terminated (whether by employer or executive) for any reason during the term,']",[],true
6,cl3atzhlh0ytk074b0zs00m46,"unless the committee determines to provide for treatment that is more favorable to you on such terms and conditions as the committee may determine, if your employment is terminated for any reason not set forth in sections 4(a), (b) or (c) prior to the applicable vesting dates specified in section 2(a), your unvested restricted units will be forfeited.",[],[],['forfeited'],['your unvested restricted units will be forfeited.'],"['unless the committee determines to provide for treatment that is more favorable to you on such terms and conditions as the committee may determine, if your employment is terminated for any reason not set forth in sections 4(a), (b) or (c) prior to the applicable vesting dates specified in section 2(a),']",['provide'],true
7,cl3au3kwr0zl9077d2vbi9twt,"each lender which is or will be owed compensation pursuant to section 3.6(a)  or (c)  or 4.7 will, if requested by the borrower, use reasonable efforts (subject to overall policy considerations of such lender) to cause a different lending office to make or continue a loan or letter of credit if such designation will avoid the need for, or materially reduce the amount of, such compensation to such lender and will not, in the judgment of such lender, be otherwise disadvantageous to such lender or lending office.  nothing in this section 3.6(d)  shall affect or postpone any of the obligations of the borrower or the right of any lender provided for herein.",['lender'],['borrower'],['use'],"['each lender which is or will be owed compensation pursuant to section\xa03.6(a) \xa0or (c) \xa0or 4.7 will, if requested by the borrower, use reasonable efforts (subject to overall policy considerations of such lender) to cause a different lending office to make or continue a loan or letter of credit if such designation will avoid the need for, or materially reduce the amount of, such compensation to such lender and will not, in the judgment of such lender, be otherwise disadvantageous to such lender or lending office.']","['if requested by the borrower,']",[],true
8,cl3auikpl0za807867fq56dnb,"if the aggregate commitments are increased in accordance with this section, the administrative agent and the company shall determine the effective date (the “ increase effective date ”) and the final allocation of such increase.  the administrative agent shall promptly notify the company and the lenders of the final allocation of such increase and the increase effective date.",['administrative agent'],"['company', 'lenders']","['determine', 'notify']","['the administrative agent and the company shall determine the effective date (the “ increase effective date ”) and the final allocation of such increase.', 'the administrative agent shall promptly notify the company and the lenders of the final allocation of such increase and the increase effective date.']","['if the aggregate commitments are increased in accordance with this section,']",[],true
9,cl3auq6sc123d0786hxhe4t0k,"in the event that, and for so long as, any event of default shall have occurred and be continuing, the outstanding principal amount of all advances and, to the extent permitted by law, overdue interest in respect of all advances, shall bear interest at a rate per annum equal to the sum of two percent (2%) plus the interest rate otherwise applicable hereunder to such principal amount in effect from time to time. in the event that, and for so long as, any default under section 6.01(a) shall have occurred and be continuing, the outstanding principal amount of the advance with respect to which such default has occurred and is continuing shall bear interest at a rate per annum equal to the sum of two percent (2%) plus the interest rate otherwise applicable hereunder to such principal amount in effect from time to time.",[],[],['bear'],"['the outstanding principal amount of all advances and, to the extent permitted by law, overdue interest in respect of all advances, shall bear interest at a rate per annum equal to the sum of two percent (2%) plus the interest rate otherwise applicable hereunder to such principal amount in effect from time to time.']","['in the event that, and for so long as, any event of default shall have occurred and be continuing,']",[],true
