,type_relation,source,id,type_token,text
0,Condition triggering an action,token-cl383ekoq0002296ay0el2rh7,token-cl383ekoq0002296ay0el2rh7,time_sensitive_condition_event,demand
1,Condition triggering an action,token-cl4m204la000b356f9iya99hx,token-cl4m204la000b356f9iya99hx,time_sensitive_condition_phrase,"(i) if vesting occurs pursuant to Section 3(c),"
2,Condition triggering an action,token-cl3865jb600b4296aedo3b5q3,token-cl3865jb600b4296aedo3b5q3,triggering_condition_event,termination
3,Condition triggering an action,token-cl3865jb600b4296aedo3b5q3,token-cl3865jb600b4296aedo3b5q3,triggering_condition_event,termination
4,Condition triggering an action,token-cl3eqifet00n7296ajybkfwdf,token-cl3eqifet00n7296ajybkfwdf,triggering_condition_phrase, if vesting occurs pursuant to Section 3(b)
5,Condition triggering an action,token-cl35xkeyt000k296aun98topz,token-cl35xkeyt000k296aun98topz,triggering_condition_phrase,If acceleration of the time for payment of any Guarantor Obligation is stayed by reason of the insolvency or receivership of any Guarantor or otherwise
6,Condition triggering an action,token-cl383cqsl0002296a057cynpx,token-cl383cqsl0002296a057cynpx,time_sensitive_condition_event,written demand
7,Condition triggering an action,token-cl35xxklp0002296assj60wld,token-cl35xxklp0002296assj60wld,triggering_condition_phrase,"If the aggregate amount of Loss actually paid by the Cedent, net of Recoveries and Reinsurance Recoveries, is greater than the Retention,"
8,Condition triggering an action,token-cl35y23jp0005296a2na2i3rb,token-cl35y23jp0005296a2na2i3rb,time_sensitive_condition_event, Effective Date
9,Condition triggering an action,token-cl35yst6o000l296av8x40w7z,token-cl35yst6o000l296av8x40w7z,time_sensitive_condition_event,"January 7, 2019"
10,Condition triggering an action,token-cl35z30vy006s296ak6rg6t4b,token-cl35z30vy006s296ak6rg6t4b,triggering_condition_phrase,upon receipt of an invoice from [*] or XOMA related thereto
11,Condition triggering an action,token-cl35zeled000z296arjk69z1c,token-cl35zeled000z296arjk69z1c,modifying_condition_phrase," as determined by the Compensation Committee, in its discretion."
12,Condition triggering an action,token-cl35z8r0e0009296aviddkle6,token-cl35z8r0e0009296aviddkle6,triggering_condition_phrase,"Unless otherwise determined by the Compensation Committee, in its discretion,"
13,Condition triggering an action,token-cl35znu45001a296aoddkmhgj,token-cl35znu45001a296aoddkmhgj,triggering_condition_phrase,"Whenever any payment to be made shall be due on a day that is not a Business Day,"
14,Condition triggering an action,token-cl35iuoen00rq2w6ck6nei5ys,token-cl35iuoen00rq2w6ck6nei5ys,triggering_condition_event,demand
15,Condition triggering an action,token-cl3fa1194005y296alyhio96u,token-cl3fa1194005y296alyhio96u,time_sensitive_condition_phrase,"If within twenty-four (24) months after a Change in Control (as defined below) or during the Period Pending a Change in Control (as defined below): (i) the Company shall terminate Executive’s employment with the Company without Good Cause (as defined below), or (ii) Executive shall voluntarily terminate such employment with Good Reason (as defined below), the Company shall, within 30 days of Executive’s Employment Termination (as defined below),"
16,Condition triggering an action,token-cl3f9vh4k002x296azhqh9g0a,token-cl3f9vh4k002x296azhqh9g0a,time_sensitive_condition_event,Change in Control
17,Condition triggering an action,token-cl35ohdoe00h3296apqrisre8,token-cl35ohdoe00h3296apqrisre8,triggering_condition_event,Effective Date
18,Condition triggering an action,token-cl35omdrr00ub296a502mqi4a,token-cl35omdrr00ub296a502mqi4a,triggering_condition_event,received
19,Condition triggering an action,token-cl3el7vsd01dr296a4qf5xd70,token-cl3el7vsd01dr296a4qf5xd70,time_sensitive_condition_event,receipt
20,Condition triggering an action,token-cl3el9uii01es296a9q7wnuaj,token-cl3el9uii01es296a9q7wnuaj,triggering_condition_phrase,until Sponsor makes payment and/or provides assurance of further or future payment reasonably satisfactory to Fujifilm. 
21,Condition triggering an action,token-cl35peedl0117296aeeessv0x,token-cl35peedl0117296aeeessv0x,triggering_condition_event,payment
22,Condition triggering an action,token-cl35q00f00005296azuu1odop,token-cl35q00f00005296azuu1odop,triggering_condition_event,received
23,Condition triggering an action,token-cl35q3hkv003i296a66bqzrnr,token-cl35q3hkv003i296a66bqzrnr,time_sensitive_condition_phrase,until the Covenant Termination Date in order to retain the Stock then delivered.
24,Condition triggering an action,token-cl35slnci0022296atta5zkev,token-cl35slnci0022296atta5zkev,time_sensitive_condition_event,Signing Date
25,Condition triggering an action,token-cl35so31i002h296a1rw6wh9x,token-cl35so31i002h296a1rw6wh9x,time_sensitive_condition_event,Commitment Fee Termination Date
26,Condition triggering an action,token-cl35sznq200bz296arcws3456,token-cl35sznq200bz296arcws3456,time_sensitive_condition_event,Vesting Date
27,Condition triggering an action,token-cl35t1jdr00c9296a30jr6xfc,token-cl35t1jdr00c9296a30jr6xfc,triggering_condition_event, “separation from service” 
28,Condition triggering an action,token-cl35t8sro00in296a5r8dzoqg,token-cl35t8sro00in296a5r8dzoqg,time_sensitive_condition_event,Effective Date
